OBJECTID,LOC_ID,FAC_TYP,FAC_SVC,PUB_PKG,SPACE_NO,COMMENTS,RESERV,FEE,HRLY_RATE,DLY_MAX,TM_LMT,RATE_NOTES,MO_RATE,MO_RATE_NOTES,VAL,VAL_TM,VAL_NOTES,NGHT_WKND_RATE,NGHT_WKND_RATE_NOTES,EVENT_FEE,EVENT_NOTES,HTL_FREE,GUEST_RATE,LOT_CTRL,OWN,PKG_OP,CLV_ENF,USE_TYP,MTR_LOT_NUM,LAST_UPDATE,LAST_EDITOR,SHAPE_Length,SHAPE_Area,RV TAG,Report No,SIDE,TIME_LIMIT,DAYS,LOT,ZONE_TYPE,HOURS,LMT_DISPLAY,FLAG,Fiscal year,Location 1
144,146,Surface,California Club Employees,N,206,,California Employees,,,,,,,,,,,,,,,,,Permit and Gate,,In House,N,Gaming,,,,1750.65114081573,100518.495223832,,,,,,,,,,,2017,"Under Us 95 B/T Main St &amp; Casino Center Blvd
Las Vegas, Nevada
"
146,148,Surface,CLV - Under 95 B/T 4th & LVBLVD,Y,245,Permit on portion of lot,CLV Employees & Public,N,,,,,,,NA,,,,,,,NA,,,,City of Las Vegas,Y,Government,,,,1771.11596394523,74518.2388558429,,,,,,,,,,,2017,"Under Us 95 B/T 4th St &amp; LV Blvd
Las Vegas, Nevada
"
151,154,Surface,Century Link,N,53,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,1115.60184214697,65434.1155577893,,,,,,,,,,,2017,"Under Us 95 B/T 9th St &amp; 10th St
Las Vegas, Nevada
"
460,466,Surface,Law Office,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,203.965159562963,2486.34806758374,,,,,,,,,,,2017,"0 South Grand Central
Las Vegas, Nevada
"
479,485,Surface,CLV Parking/Marshals/Animal Control,N,85,,CLV,N,,,,,,,NA,,,,,,,NA,,Permit,,City of Las Vegas,Y,Government,,,,591.811039692848,21832.4089986273,,,,,,,,,,,2017,"Under Us 95 B/T 7th St &amp; 8th St
Las Vegas, Nevada
"
480,486,Surface,N.D.O.T Employees,N,17,,N.D.O.T,N,,,,,,,NA,,,,,,,NA,,,,City of Las Vegas,,Government,,,,590.066965717494,21726.0937693335,,,,,,,,,,,2017,"Under Us 95 B/T 7th St &amp; 8th St
Las Vegas, Nevada
"
473,479,Surface,Gold & Silver Pawn Shop,Y,40,,Customers,,,,,,,,,,,,,,,NA,,,,,NO,Retail,,,,474.008460534939,13758.7222446348,,,,,,,,,,,2017,"725 S Las Vegas Blvd
Las Vegas, Nevada
(36.161561, -115.145603)"
496,502,Surface,N.D.O.T,N,19,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Government,,,,522.857764378428,16958.6911579501,,,,,,,,,,,2017,"Under Us 95 B/T 8th St &amp; 9th St
Las Vegas, Nevada
"
548,554,Garage,Soho Lofts,N,300,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,793.423886317606,31227.4586388686,,,,,,,,,,,2017,"900 Las Vegas Blvd
Las Vegas, Nevada
"
569,576,Surface,Office  - Lou Ruvo,N,65,,Employees & Visitors,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,1018.34369982301,61289.8853591788,,,,,,,,,,,2017,"Clark Ave B/T Grand Sentral Pkwy &amp; Promenade Pl
Las Vegas, Nevada
"
1,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,88.6850884864855,,On Street parking,4,N,4HR,S-S,133,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"500 Ogden
Las Vegas, Nevada
"
66,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/21/2015 12:00:00 AM,JHillhouse,113.234453663785,,On Street parking,4,N,10HR,M-F,105,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"700 Ogden
Las Vegas, Nevada
"
81,,Parallel,,,13,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,287.302559998242,,On Street parking,4,N,10HR,M-F,116,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"700 E. Bridger
Las Vegas, Nevada
"
82,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,228.397138946102,,On Street parking,4,N,10HR,M-F,117,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 E. Bridger
Las Vegas, Nevada
"
83,,Parallel,,,10,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,260.12020553689,,On Street parking,4,S,10HR,M-F,118,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 E. Bridger
Las Vegas, Nevada
"
84,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,07/15/2015 12:00:00 AM,JHillhouse,108.265485656547,,On Street parking,4,N,10HR,M-F,119,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 E. Bridger
Las Vegas, Nevada
"
85,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,11/28/2016 12:00:00 AM,JHillhouse,201.689445678091,,On Street parking,4,N,4HR,S-S,56,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"400 E. Bridger
Las Vegas, Nevada
"
86,,Parallel,,,7,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,245.5629003244,,On Street parking,4,N,4HR,S-S,57,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"300 E. Bridger
Las Vegas, Nevada
"
87,,Parallel,,,6,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/13/2017 12:00:00 AM,JHillhouse,157.858666195185,,On Street parking,4,N,4HR,S-S,58,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"200 E. Bridger
Las Vegas, Nevada
"
90,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,168.224430089419,,On Street parking,4,S,10HR,M-F,61,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"1 Clark
Las Vegas, Nevada
"
110,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,103.183918880289,,On Street parking,4,S,4HR,S-S,49,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"1 Stewart
Las Vegas, Nevada
"
119,,Angle,,,11,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,237.945767198585,,On Street parking,4,N,10HR,M-F,120,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Stanley Cooper
Las Vegas, Nevada
"
120,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,244.27559248261,,On Street parking,4,S,10HR,M-F,121,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Stanley Cooper
Las Vegas, Nevada
"
121,,Parallel,,,3,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,65.294907527094,,On Street parking,4,N,10HR,M-F,122,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Clark
Las Vegas, Nevada
"
122,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,104.382071110561,,On Street parking,4,S,10HR,M-F,123,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Clark
Las Vegas, Nevada
"
144,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,134.496714023423,,On Street parking,4,S,4HR,S-S,501,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"1 E. Bridger
Las Vegas, Nevada
"
145,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,147.869887154089,,On Street parking,4,S,4HR,S-S,502,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"100 E Bridger
Las Vegas, Nevada
"
160,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,317.374992955378,,On Street parking,4,E,10HR,M-F,177,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"100. N 10th
Las Vegas, Nevada
"
1,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,88.6850884864855,,On Street parking,4,N,4HR,S-S,133,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"500 Ogden
Las Vegas, Nevada
"
66,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/21/2015 12:00:00 AM,JHillhouse,113.234453663785,,On Street parking,4,N,10HR,M-F,105,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"700 Ogden
Las Vegas, Nevada
"
81,,Parallel,,,13,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,287.302559998242,,On Street parking,4,N,10HR,M-F,116,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"700 E. Bridger
Las Vegas, Nevada
"
82,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,228.397138946102,,On Street parking,4,N,10HR,M-F,117,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 E. Bridger
Las Vegas, Nevada
"
83,,Parallel,,,10,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,260.12020553689,,On Street parking,4,S,10HR,M-F,118,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 E. Bridger
Las Vegas, Nevada
"
84,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,07/15/2015 12:00:00 AM,JHillhouse,108.265485656547,,On Street parking,4,N,10HR,M-F,119,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 E. Bridger
Las Vegas, Nevada
"
85,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,11/28/2016 12:00:00 AM,JHillhouse,201.689445678091,,On Street parking,4,N,4HR,S-S,56,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"400 E. Bridger
Las Vegas, Nevada
"
86,,Parallel,,,7,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,245.5629003244,,On Street parking,4,N,4HR,S-S,57,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"300 E. Bridger
Las Vegas, Nevada
"
87,,Parallel,,,6,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/13/2017 12:00:00 AM,JHillhouse,157.858666195185,,On Street parking,4,N,4HR,S-S,58,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 E. Bridger
Las Vegas, Nevada
"
90,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,168.224430089419,,On Street parking,4,S,10HR,M-F,61,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"1 Clark
Las Vegas, Nevada
"
110,,Parallel,,,4,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,103.183918880289,,On Street parking,4,S,4HR,S-S,49,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"1 Stewart
Las Vegas, Nevada
"
119,,Angle,,,11,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,237.945767198585,,On Street parking,4,N,10HR,M-F,120,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 Stanley Cooper
Las Vegas, Nevada
"
120,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,244.27559248261,,On Street parking,4,S,10HR,M-F,121,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 Stanley Cooper
Las Vegas, Nevada
"
121,,Parallel,,,3,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,65.294907527094,,On Street parking,4,N,10HR,M-F,122,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 Clark
Las Vegas, Nevada
"
122,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,104.382071110561,,On Street parking,4,S,10HR,M-F,123,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 Clark
Las Vegas, Nevada
"
144,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,134.496714023423,,On Street parking,4,S,4HR,S-S,501,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"1 E. Bridger
Las Vegas, Nevada
"
145,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,147.869887154089,,On Street parking,4,S,4HR,S-S,502,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 E Bridger
Las Vegas, Nevada
"
160,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,317.374992955378,,On Street parking,4,E,10HR,M-F,177,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"100. N 10th
Las Vegas, Nevada
"
530,536,Garage,Office - 333 6th Offices,N,49,,Staff & Jurors,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,579.393401352093,21084.4493729686,,,,,,,,,,,2017,"333 S 6th St
Las Vegas, Nevada
(36.165577, -115.141583)"
167,170,Surface,Allure Wedding Chapel,N,6,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Other,,,,221.864602717661,3039.98544614779,,,,,,,,,,,2017,"823 S 3rd St
Las Vegas, Nevada
(36.161233, -115.148818)"
467,473,Surface,Talk of the Town Bookstore,N,15,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,451.59256547707,11771.4701858315,,,,,,,,,,,2017,"1232 S Las Vegas Blvd
Las Vegas, Nevada
(36.155593, -115.149664)"
430,436,Surface,Hotel - Western,N,63,,Unknown,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Gaming,,,,589.838890508224,21741.4899014438,,,,,,,,,,,2017,"801 Fremont St
Las Vegas, Nevada
(36.167627, -115.136948)"
1,1,Garage,Neonopolis - CLV,Y,572,,,Y,1,5,,,35,,Y,1,1 hr increments,,,1,Same rates as normal apply,NA,,Gated,,City of Las Vegas,Y,Mixed Use,,,,1298.29090740178,103101.49539781,City Parking Structures,,,,,,,,,,2017,"450 Fremont St
Las Vegas, Nevada
(36.169492, -115.141238)"
529,535,Surface,317 6th,N,8,Vacant Building,,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,245.298297474105,3555.90630841823,,,,,,,,,,,2017,"317 S 6th St
Las Vegas, Nevada
(36.165856, -115.141404)"
570,577,Garage,World Market Center,N,3600,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,World Market Center,,,,1944.91083528167,185685.650680158,,,,,,,,,,,2017,"320 S Grand Central Pkwy
Las Vegas, Nevada
(36.170564, -115.153347)"
34,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,263.989826586928,,On Street parking,4,W,10HR,M-F,104,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"200 N. 6th
Las Vegas, Nevada
(36.169883, -115.138749)"
151,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/21/2015 12:00:00 AM,JHillhouse,172.540037106132,,On Street parking,4,N,10HR,M-F,167,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"800 E. Ogden
Las Vegas, Nevada
(36.168947, -115.136506)"
502,508,Surface,Cooper Roofing & Solar,N,98,,Employees & Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,1622.98312489977,155289.401219899,,,,,,,,,,,2017,"1200 S Commerce St
Las Vegas, Nevada
(36.156757, -115.155032)"
3,3,Surface,Apartments,N,64,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,1352.03106244452,16509.034569646,,1,,,,,,,,,2017,"629 S Main St
Las Vegas, Nevada
(36.165259, -115.150574)"
134,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,213.878212250514,,On Street parking,4,S,10HR,M-F,156,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"300 Garces
Las Vegas, Nevada
(36.163219, -115.147494)"
188,191,Surface,CGP Law Group,N,11,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,166.341483182826,1659.68791763623,,,,,,,,,,,2017,"520 S 7th St
Las Vegas, Nevada
(36.162915, -115.141895)"
11,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,09/04/2015 12:00:00 AM,JHillhouse,227.220874724058,,On Street parking,4,W,4HR,S-S,79,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"100 N. 8th
Las Vegas, Nevada
(36.167758, -115.137267)"
149,152,Surface,CLV -  Beautification Office,N,5,,CLV Employees,N,,,,,,,NA,,,,,,,NA,,Permit,,City of Las Vegas,Y,Government,,,,283.944193604996,4641.29293828727,,,,,,,,,,,2017,"324 N 7th St
Las Vegas, Nevada
(36.171554, -115.136343)"
267,271,Surface,Walgreens,N,76,,Customers,N,,,1,,,,NA,,,,,,,NA,,None,,,NO,Retail,,,,1379.96238461254,40742.5326123267,,,,,,,,,,,2017,"1101 S Las Vegas Blvd
Las Vegas, Nevada
(36.158644, -115.147492)"
5,,Parallel,,,11,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2014 12:00:00 AM,JHillhouse,307.828152736055,,On Street parking,4,W,10HR,M-F,73,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"100 N. 10th
Las Vegas, Nevada
(36.166776, -115.134969)"
98,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,164.858671310446,,On Street parking,4,S,10HR,M-F,132,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Hoover
Las Vegas, Nevada
(36.159431, -115.145619)"
93,,Parallel,,,3,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,77.432261555712,,On Street parking,4,N,10HR,M-F,65,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"300 E. Bonneville
Las Vegas, Nevada
(36.164413, -115.146727)"
534,540,Surface,Public,Y,12,,Public,Y,3,,,"Mon-Thurs 5am-5pm $3 flat, Fri-Sun 5am-5pm $5 flat",35,,,,,"$5 Hourly Mon-Thurs 5pm-5am, $7 Hourly Fri-Sun 5pm-5am",,,,N,,,Downtown Grand,LAZ,N,Gaming,,09/24/2014 12:00:00 AM,JHillhouse,429.906016176035,10493.579257391,,,,,,,,,,,2017,"220 E Ogden Ave
Las Vegas, Nevada
(36.171723, -115.142952)"
392,398,Surface,Motel - Vacant,N,18,Private,Tenants,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,285.213486263915,4330.6437334861,,,,,,,,,,,2017,"232 S 7th St
Las Vegas, Nevada
(36.166098, -115.139819)"
577,584,Surface,I HOP,N,38,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Bar/Rest,,,,699.201840505038,20274.5344663645,,,,,,,,,,,2017,"2210 S Las Vegas Blvd
Las Vegas, Nevada
(36.145533, -115.156249)"
334,338,Surface,Casa Don Juan,N,15,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Bar/Rest,,,,298.787688568347,5333.06793853508,,,,,,,,,,,2017,"1202 S Main St
Las Vegas, Nevada
(36.157207, -115.153669)"
145,147,Garage,Zappos,N,305,,Zappos Employees,N,,,,,,,N/A,,,,,,,N/A,,Permit and Gate,Zappos,,NO,Office,,09/24/2014 12:00:00 AM,JHillhouse,836.160379351866,43534.0696281867,,,,,,,,,,,2017,"400 Stewart Ave
Las Vegas, Nevada
(36.172045, -115.140267)"
516,522,Garage,Binions Hotel and Casino,Y,995,,Public and casino guests,Y,2,10,,"0-1hr $2, 1-2 hrs $4, 2-4hrs $6, 4-6hrs $8, 6-24hrs $10, $10 lost ticket fee",40,,Y,3,Free for guests actively eating or gambling,,,,,,,,Binions,In House,N,Gaming,,09/22/2014 12:00:00 AM,JHillhouse,1080.04205782453,55971.3212775983,,,,,,,,,,,2017,"128 Fremont St
Las Vegas, Nevada
(36.171092, -115.144893)"
424,430,Surface,LV Theatrical Group,N,25,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,414.078489628417,9147.39721611975,,,,,,,,,,,2017,"920 S Commerce St
Las Vegas, Nevada
(36.161978, -115.152933)"
44,44,Surface,Motel - Closed,N,14,,Tenants,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,251.974605127671,2440.44661504578,,,,,,,,,,,2017,"1500 S Casino Center Blvd
Las Vegas, Nevada
(36.153171, -115.152681)"
191,194,Surface,Law Office - William Terry,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,147.466977578818,1120.94353437204,,,,,,,,,,,2017,"530 S 7th St
Las Vegas, Nevada
(36.162547, -115.142129)"
32,32,Surface,Astro Auto Sales,N,26,26 including cars for sale,Customers,N,,,,,,,NA,,,,,,,NA,,,,N/A,NO,Retail,,,,523.865654693582,12400.5959240932,,,,,,,,,,,2017,"1418 S Main St
Las Vegas, Nevada
(36.154057, -115.153906)"
70,70,Surface,Law Office - CPK Law,N,4,Private,Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,179.322439817616,1991.19715564485,,,,,,,,,,,2017,"713 S 7th St
Las Vegas, Nevada
(36.160809, -115.143263)"
371,377,Surface,Clark County Detention Center Lot,N,85,,Jail - CCDC,,,,,,,,NA,,,,,,,NA,,,,N/A,N,Government,,,,867.208837717862,40916.2135975841,,,,,,,,,,,2017,"425 S 1st St
Las Vegas, Nevada
(36.166907, -115.148037)"
468,474,Garage,Law Office - Cristalli Law,N,26,"386-2180, 228-3328",Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,521.690962097652,15238.5169847814,,,,,,,,,,,2017,"700 S 6th St
Las Vegas, Nevada
(36.160885, -115.144673)"
65,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/09/2017 12:00:00 AM,JHillhouse,200.082546731953,,On Street parking,4,E,10HR,M-F,48,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 S. 1st
Las Vegas, Nevada
(36.166311, -115.148426)"
102,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,261.059891963529,,On Street parking,4,N,4HR,S-S,153,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"300 E. Ogden
Las Vegas, Nevada
(36.17137, -115.142138)"
33,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,338.948206989888,,On Street parking,4,E,10HR,M-F,103,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"200 N. 6th
Las Vegas, Nevada
(36.169883, -115.138749)"
25,25,Surface,Office Building,N,24,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,381.114921664273,7098.52262646472,,,,,,,,,,,2017,"604 S 3rd St
Las Vegas, Nevada
(36.164064, -115.146951)"
425,431,Surface,Cal Printing,N,22,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,622.032476283295,15046.4639641296,,,,,,,,,,,2017,"900 S Commerce St
Las Vegas, Nevada
(36.162308, -115.152718)"
533,539,Garage,Binions Casino,N,679,$20.00 employees,Casino Employees Only,Y,,,,,50,,,,,,,,,,,,Binions,In House,N,Gaming,,,,929.615077580835,45473.0581739344,,,,,,,,,,,2017,"220 N Casino Center Blvd
Las Vegas, Nevada
(36.172652, -115.142799)"
20,20,Surface,Office Building,N,8,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,186.532708663893,2139.57745624133,,,,,,,,,,,2017,"630 S 3rd St
Las Vegas, Nevada
(36.16333, -115.147422)"
118,120,Surface,Office ,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,227.626177472841,1737.79915600082,,,,,,,,,,,2017,"524 S 8th St
Las Vegas, Nevada
(36.162286, -115.14083)"
375,381,Surface,High Hat Motel,N,20,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Hotel,,,,373.374319109458,6891.91294496015,,,,,,,,,,,2017,"1300 S Las Vegas Blvd
Las Vegas, Nevada
(36.155162, -115.149958)"
114,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,88.6119373700973,,On Street parking,4,S,10HR,M-F,69,Remove Existing Zone,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"400 Garces
Las Vegas, Nevada
(36.162737, -115.146365)"
304,308,Surface,Law Office,N,2,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,177.872258184774,1500.45412943067,,,,,,,,,,,2017,"630 S 7th St
Las Vegas, Nevada
(36.16138, -115.142894)"
313,317,Surface,Antique Store,N,5,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,205.482732652464,1662.81738460845,,,,,,,,,,,2017,"213 E Colorado Ave
Las Vegas, Nevada
(36.155995, -115.151612)"
435,441,Surface,Las Vegas Academy High School,Y,99,,Student Parking,N,,,,,,,NA,,,,,,,NA,,,,N/A,N,Other,,,,927.73257256764,53754.0767560937,,,,,,,,,,,2017,"315 S 7th St
Las Vegas, Nevada
(36.165512, -115.140195)"
